Application,IfcApplication
curve Colour,curveColour_IfcCurveStyle
curve Font,curveFont_IfcCurveStyle
curve,curve_IfcArbitraryOpenProfileDef
depth,depth_IfcExtrudedAreaSolid
depth,depth_IfcSurfaceOfLinearExtrusion
description,description_IfcOrganization
description,description_IfcRoot
dimensions,dimensions_IfcNamedUnit
direction Ratios,directionRatios_IfcDirection
direction Sense,directionSense_IfcMaterialLayerSetUsage
electric Current Exponent,electricCurrentExponent_IfcDimensionalExponents
elements,elements_IfcGeometricSet
element Type,elementType_IfcElementType
elevation,elevation_IfcBuildingStorey
extruded Direction,extrudedDirection_IfcExtrudedAreaSolid
extruded Direction,extrudedDirection_IfcSurfaceOfLinearExtrusion
fbsm Faces,fbsmFaces_IfcFaceBasedSurfaceModel
fill Styles,fillStyles_IfcFillAreaStyle
first Operand,firstOperand_IfcBooleanResult
for Layer Set,forLayerSet_IfcMaterialLayerSetUsage
given Name,givenName_IfcPerson
global Id,globalId_IfcRoot
green,green_IfcColourRgb
has Boolean,hasBoolean
has Contents,hasContents
has Double,hasDouble
has Integer,hasInteger
has Logical,hasLogical
has Next,hasNext
has Properties,hasProperties_IfcPropertySet
has Property Sets,hasPropertySets_IfcTypeObject
has Space Area,hasSpaceArea
has String,hasString
hatch Line Angle,hatchLineAngle_IfcFillAreaStyleHatching
hatch Line Appearance,hatchLineAppearance_IfcFillAreaStyleHatching
inner Curves,innerCurves_IfcArbitraryProfileDefWithVoids
interior Or Exterior Space,interiorOrExteriorSpace_IfcSpace
internal Or External Boundary,internalOrExternalBoundary_IfcRelSpaceBoundary
invisible Segment Length,invisibleSegmentLength_IfcCurveStyleFontPattern
items,items_IfcRepresentation
item,item_IfcStyledItem
layer Set Direction,layerSetDirection_IfcMaterialLayerSetUsage
layer Set Name,layerSetName_IfcMaterialLayerSet
layer Thickness,layerThickness_IfcMaterialLayer
length Exponent,lengthExponent_IfcDimensionalExponents
local Origin,localOrigin_IfcCartesianTransformationOperator
location,location_IfcPlacement
long Name,longName_IfcProject
long Name,longName_IfcSpatialStructureElement
luminous Intensity Exponent,luminousIntensityExponent_IfcDimensionalExponents
mapped Representation,mappedRepresentation_IfcRepresentationMap
mapping Origin,mappingOrigin_IfcRepresentationMap
mapping Source,mappingSource_IfcMappedItem
mapping Target,mappingTarget_IfcMappedItem
mass Exponent,massExponent_IfcDimensionalExponents
master Representation,masterRepresentation_IfcTrimmedCurve
material Layers,materialLayers_IfcMaterialLayerSet
material,material_IfcMaterialLayer
method Of Measurement,methodOfMeasurement_IfcElementQuantity
name,name_IfcConversionBasedUnit
name,name_IfcCurveStyleFont
name,name_IfcMaterial
name,name_IfcOrganization
name,name_IfcPhysicalQuantity
name,name_IfcPreDefinedItem
name,name_IfcPresentationLayerAssignment
name,name_IfcPresentationStyle
name,name_IfcProperty
name,name_IfcRoot
name,name_IfcSIUnit
nominal Value,nominalValue_IfcPropertySingleValue
number Of Riser,numberOfRiser_IfcStairFlight
number Of Treads,numberOfTreads_IfcStairFlight
object Placement,objectPlacement_IfcProduct
object Type,objectType_IfcObject
offset From Reference Line,offsetFromReferenceLine_IfcMaterialLayerSetUsage
operation Type,operationType_IfcDoorStyle
operation Type,operationType_IfcWindowStyle
operator,operator_IfcBooleanResult
orientation,orientation_IfcFaceBound
outer Boundary,outerBoundary_IfcCurveBoundedPlane
outer Curve,outerCurve_IfcArbitraryClosedProfileDef
overall Height,overallHeight_IfcDoor
overall Height,overallHeight_IfcWindow
overall Width,overallWidth_IfcDoor
overall Width,overallWidth_IfcWindow
owner History,ownerHistory_IfcRoot
owning Application,owningApplication_IfcOwnerHistory
owning User,owningUser_IfcOwnerHistory
parameter Takes Precedence,parameterTakesPrecedence_IfcDoorStyle
parameter Takes Precedence,parameterTakesPrecedence_IfcWindowStyle
parent Context,parentContext_IfcGeometricRepresentationSubContext
parent Curve,parentCurve_IfcCompositeCurveSegment
pattern List,patternList_IfcCurveStyleFont
pattern Start,patternStart_IfcFillAreaStyleHatching
phase,phase_IfcProject
physical Or Virtual Boundary,physicalOrVirtualBoundary_IfcRelSpaceBoundary
placement Rel To,placementRelTo_IfcLocalPlacement
points,points_IfcPolyline
polygonal Boundary,polygonalBoundary_IfcPolygonalBoundedHalfSpace
polygon,polygon_IfcPolyLoop
position,position_IfcConic
position,position_IfcElementarySurface
position,position_IfcParameterizedProfileDef
position,position_IfcPolygonalBoundedHalfSpace
position,position_IfcSweptAreaSolid
position,position_IfcSweptSurface
postal Code,postalCode_IfcPostalAddress
precision,precision_IfcGeometricRepresentationContext
predefined Type,predefinedType_IfcCovering
predefined Type,predefinedType_IfcFooting
predefined Type,predefinedType_IfcRailing
predefined Type,predefinedType_IfcSlab
profile Type,profileType_IfcProfileDef
quantities,quantities_IfcElementQuantity
radius,radius_IfcCircle
radius,radius_IfcCircleProfileDef
red,red_IfcColourRgb
ref Direction,refDirection_IfcAxis2Placement2D
ref Direction,refDirection_IfcAxis2Placement3D
ref Elevation,refElevation_IfcSite
ref Latitude,refLatitude_IfcSite
reflectance Method,reflectanceMethod_IfcSurfaceStyleRendering
ref Longitude,refLongitude_IfcSite
region,region_IfcPostalAddress
related Building Element,relatedBuildingElement_IfcRelFillsElement
related Building Element,relatedBuildingElement_IfcRelSpaceBoundary
related Connection Type,relatedConnectionType_IfcRelConnectsPathElements
related Elements,relatedElements_IfcRelContainedInSpatialStructure
related Element,relatedElement_IfcRelConnectsElements
related Objects,relatedObjects_IfcRelAssociates
related Objects,relatedObjects_IfcRelDecomposes
related Objects,relatedObjects_IfcRelDefines
related Opening Element,relatedOpeningElement_IfcRelVoidsElement
relating Building Element,relatingBuildingElement_IfcRelVoidsElement
relating Connection Type,relatingConnectionType_IfcRelConnectsPathElements
relating Element,relatingElement_IfcRelConnectsElements
relating Material,relatingMaterial_IfcRelAssociatesMaterial
relating Object,relatingObject_IfcRelDecomposes
relating Opening Element,relatingOpeningElement_IfcRelFillsElement
relating Property Definition,relatingPropertyDefinition_IfcRelDefinesByProperties
relating Space,relatingSpace_IfcRelSpaceBoundary
relating Structure,relatingStructure_IfcRelContainedInSpatialStructure
relating Type,relatingType_IfcRelDefinesByType
relative Placement,relativePlacement_IfcLocalPlacement
representation Contexts,representationContexts_IfcProject
representation Identifier,representationIdentifier_IfcRepresentation
representation Maps,representationMaps_IfcTypeProduct
representations,representations_IfcProductRepresentation
representation Type,representationType_IfcRepresentation
representation,representation_IfcProduct
represented Material,representedMaterial_IfcMaterialDefinitionRepresentation
riser Height,riserHeight_IfcStairFlight
same Sense,sameSense_IfcCompositeCurveSegment
scale,scale_IfcCartesianTransformationOperator
second Operand,secondOperand_IfcBooleanResult
segments,segments_IfcCompositeCurve
self Intersect,selfIntersect_IfcCompositeCurve
sense Agreement,senseAgreement_IfcTrimmedCurve
shape Type,shapeType_IfcRoof
shape Type,shapeType_IfcStair
side,side_IfcSurfaceStyle
sizeable,sizeable_IfcDoorStyle
sizeable,sizeable_IfcWindowStyle
specular Colour,specularColour_IfcSurfaceStyleRendering
specular Highlight,specularHighlight_IfcSurfaceStyleRendering
start Of Next Hatch Line,startOfNextHatchLine_IfcFillAreaStyleHatching
styles,styles_IfcPresentationStyleAssignment
styles,styles_IfcStyledItem
styles,styles_IfcSurfaceStyle
surface Colour,surfaceColour_IfcSurfaceStyleShading
surface On Relating Element,surfaceOnRelatingElement_IfcConnectionSurfaceGeometry
swept Area,sweptArea_IfcSweptAreaSolid
swept Curve,sweptCurve_IfcSweptSurface
tag,tag_IfcElement
tag,tag_IfcTypeProduct
target Scale,targetScale_IfcGeometricRepresentationSubContext
target View,targetView_IfcGeometricRepresentationSubContext
the Organization,theOrganization_IfcPersonAndOrganization
the Person,thePerson_IfcPersonAndOrganization
thermodynamic Temperature Exponent,thermodynamicTemperatureExponent_IfcDimensionalExponents
time Exponent,timeExponent_IfcDimensionalExponents
town,town_IfcPostalAddress
transition,transition_IfcCompositeCurveSegment
transparency,transparency_IfcSurfaceStyleRendering
tread Length,treadLength_IfcStairFlight
trim1,trim1_IfcTrimmedCurve
trim2,trim2_IfcTrimmedCurve
unit Component,unitComponent_IfcMeasureWithUnit
units In Context,unitsInContext_IfcProject
units,units_IfcUnitAssignment
unit Type,unitType_IfcNamedUnit
value Component,valueComponent_IfcMeasureWithUnit
version,version_IfcApplication
visible Segment Length,visibleSegmentLength_IfcCurveStyleFontPattern
world Coordinate System,worldCoordinateSystem_IfcGeometricRepresentationContext
x Dim,xDim_IfcRectangleProfileDef
y Dim,yDim_IfcRectangleProfileDef
