x,x,z,p,p
,,,,
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcRelContainedInSpatialStructure_37680,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcRelContainedInSpatialStructure_37680,http://www.buildingsmart-tech.org/ifcOWL/IFC2X3_TC1#relatingStructure_IfcRelContainedInSpatialStructure,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcBuildingStorey_43,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcBuildingStorey_43
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcBuildingStorey_43,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcBuildingStorey_43,http://www.buildingsmart-tech.org/ifcOWL/IFC2X3_TC1#name_IfcRoot,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315,https://w3id.org/express#hasString,Level 2,Level 2
,,,,
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcRelAggregates_37701,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcRelAggregates_37701,http://www.buildingsmart-tech.org/ifcOWL/IFC2X3_TC1#relatedObjects_IfcRelDecomposes,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcBuildingStorey_43,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcBuildingStorey_43
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcBuildingStorey_43,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcBuildingStorey_43,http://www.buildingsmart-tech.org/ifcOWL/IFC2X3_TC1#name_IfcRoot,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcLabel_38315,https://w3id.org/express#hasString,Level 2,Level 2
,,,,
http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcRelDefinesByProperties_37845,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcRelDefinesByProperties_37845,http://www.buildingsmart-tech.org/ifcOWL/IFC2X3_TC1#relatedObjects_IfcRelDefines,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcBuildingStorey_43,http://linkedbuildingdata.net/ifc/resources20170627_104702/IfcBuildingStorey_43
